number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.9333333333333333,2026-01-20 20:36:28.386905,2026-01-20 20:36:29.154539,0 days 00:00:00.767634,gini,20,sqrt,6,15,81,COMPLETE
1,0.9333333333333333,2026-01-20 20:36:29.156100,2026-01-20 20:36:30.151049,0 days 00:00:00.994949,entropy,2,sqrt,9,20,145,COMPLETE
2,0.9333333333333333,2026-01-20 20:36:30.152613,2026-01-20 20:36:30.797601,0 days 00:00:00.644988,gini,7,,2,13,92,COMPLETE
3,0.9238095238095239,2026-01-20 20:36:30.799167,2026-01-20 20:36:31.563622,0 days 00:00:00.764455,gini,13,,7,2,108,COMPLETE
4,0.9333333333333333,2026-01-20 20:36:31.565448,2026-01-20 20:36:32.098287,0 days 00:00:00.532839,gini,3,log2,5,15,68,COMPLETE
5,0.9333333333333333,2026-01-20 20:36:32.099522,2026-01-20 20:36:33.045140,0 days 00:00:00.945618,gini,7,log2,6,11,136,COMPLETE
6,0.9333333333333333,2026-01-20 20:36:33.047117,2026-01-20 20:36:33.942607,0 days 00:00:00.895490,entropy,19,,2,3,124,COMPLETE
7,0.9333333333333333,2026-01-20 20:36:33.946192,2026-01-20 20:36:34.583430,0 days 00:00:00.637238,gini,7,,2,12,78,COMPLETE
8,0.9333333333333333,2026-01-20 20:36:34.584940,2026-01-20 20:36:34.791562,0 days 00:00:00.206622,entropy,17,sqrt,8,15,11,COMPLETE
9,0.9333333333333333,2026-01-20 20:36:34.792799,2026-01-20 20:36:35.689273,0 days 00:00:00.896474,gini,8,log2,4,3,129,COMPLETE
10,0.9333333333333333,2026-01-20 20:36:35.691072,2026-01-20 20:36:36.942635,0 days 00:00:01.251563,entropy,15,sqrt,10,7,190,COMPLETE
11,0.9238095238095239,2026-01-20 20:36:36.946181,2026-01-20 20:36:38.002640,0 days 00:00:01.056459,entropy,2,sqrt,10,20,163,COMPLETE
12,0.9428571428571428,2026-01-20 20:36:38.004423,2026-01-20 20:36:38.550400,0 days 00:00:00.545977,entropy,20,sqrt,8,20,45,COMPLETE
